year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,Toyota,Sienna,XLE 7-Passenger,minivan,automatic,5tddk3dc5bs009522,ca,36.0,80975.0,silver,gray,desert european motorcars,19300.0,17250.0,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk7c56ba973435,ca,49.0,36100.0,black,gray,financial services remarketing/rail cars,19100.0,19500.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2014,Chrysler,300,C,sedan,automatic,2c3ccaeg9eh166735,fl,44.0,9784.0,gray,black,chrysler capital,22500.0,23500.0,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
2013,Ford,Mustang,V6,Convertible,automatic,1zvbp8em1d5237410,fl,44.0,60568.0,silver,black,dtg operations inc,13100.0,14100.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2007,Toyota,Corolla,CE,Sedan,automatic,jtdbr32e770120882,wa,34.0,133836.0,black,gray,toyota of olympia,4275.0,5100.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2012,MINI,Cooper Countryman,S,wagon,automatic,wmwzc3c51cwl84487,ca,36.0,46970.0,gray,—,bmw mini financial services,16450.0,16500.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2014,Ford,Transit Connect,Wagon Titanium LWB,Minivan,automatic,nm0ge9g72e1149497,il,48.0,10297.0,black,tan,ford motor credit company,22400.0,21900.0,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
2003,Chevrolet,Monte Carlo,SS,coupe,automatic,2g1wx12k739140379,nc,28.0,121329.0,silver,gray,hendrick buick gmc cadillac,2050.0,2800.0,Mon Jun 01 2015 02:15:00 GMT-0700 (PDT)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7cc817033,ca,28.0,46257.0,red,black,nissan-infiniti lt,16200.0,15000.0,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2012,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee9cc774380,fl,44.0,33859.0,white,beige,world omni financial corporation,10250.0,11200.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap7cc249102,fl,42.0,31308.0,red,black,nissan-infiniti lt,11800.0,11000.0,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am6e5234204,ga,29.0,37229.0,silver,gray,ars/avis budget group,17950.0,17500.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gntkfe3xbg129642,oh,42.0,72218.0,black,black,bobb automotive inc,25900.0,27000.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2010,Nissan,Cube,1.8 S,Wagon,automatic,jn8az2kr0at153600,nj,23.0,38812.0,red,gray,dbit enterprise inc dba holy land ent inc,7775.0,7200.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2011,Kia,Soul,!,Wagon,automatic,kndjt2a2xb7255711,in,29.0,101243.0,red,black,santander consumer,7375.0,6700.0,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4eu419700,mn,34.0,17727.0,black,black,toyota motor sales usa inc/program,16150.0,16100.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h74dr179856,ny,37.0,78697.0,silver,black,ari,10850.0,9800.0,Wed Jan 21 2015 02:10:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8ab0dr252642,wi,38.0,14530.0,black,black,mercedes-benz financial services,26200.0,26500.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2008,Dodge,Dakota,SLT,Crew Cab,automatic,1d7hw48n58s581722,pa,43.0,80609.0,red,gray,r hollenshead auto sales inc,13050.0,14400.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2006,Saturn,ION,2,Sedan,automatic,1g8aj55f96z152823,ca,19.0,117546.0,gray,gray,aaero sweet company,2250.0,1400.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a33dc033730,md,4.0,63812.0,blue,black,the hertz corporation,11250.0,11000.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2007,Cadillac,Escalade,Base,SUV,automatic,1gyfk638x7r276226,ca,38.0,105420.0,brown,beige,bmw of riverside,18150.0,18900.0,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2004,Toyota,4Runner,Limited,SUV,automatic,jtezu17r948020563,fl,24.0,126605.0,gold,beige,empire automotive group inc,7400.0,6800.0,Wed Mar 04 2015 01:40:00 GMT-0800 (PST)
2014,Jeep,Patriot,Latitude,SUV,automatic,1c4njrfb4ed778382,pa,4.0,16550.0,silver,black,hertz corporation/gdp,17150.0,16600.0,Thu Jan 08 2015 01:30:00 GMT-0800 (PST)
2010,Nissan,Rogue,S,SUV,automatic,jn8as5mv7aw612474,ca,39.0,39644.0,silver,black,nissan-infiniti lt,11350.0,12750.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Pathfinder,S,SUV,automatic,5n1ar2mn4ec601652,tx,46.0,9511.0,red,black,bank of america,21000.0,21000.0,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2006,Cadillac,STS,V6,Sedan,automatic,1g6dw677x60105260,nj,34.0,92588.0,gray,gray,remarketing by ge/afs acceptance llc,6150.0,5300.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2003,BMW,3 Series,325i,Sedan,automatic,wbaev33493kl83708,ca,33.0,103956.0,silver,gray,wells fargo dealer services,3975.0,4800.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2014,Toyota,Camry Hybrid,LE,Sedan,automatic,4t1bd1fk8eu107773,wi,4.0,19579.0,black,gray,toyota financial services,17650.0,17200.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk6eu758975,wa,35.0,36415.0,red,tan,avis corporation,14700.0,14900.0,Tue Mar 03 2015 16:00:00 GMT-0800 (PST)
2014,Ford,Explorer,XLT,SUV,automatic,1fm5k8d82egc50610,il,45.0,33848.0,white,beige,avis budget group,26700.0,27100.0,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbb2et174200,fl,5.0,9424.0,white,black,fiserv/regions bank,15800.0,16900.0,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
2011,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf6bke04504,mo,28.0,86445.0,white,gray,enterprise fm trust,9625.0,9500.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2003,Chevrolet,Silverado 2500HD,Base,Regular Cab,automatic,1gchk24u13e170302,ga,19.0,288432.0,white,gray,ge fleet services for itself/servicer,3050.0,1200.0,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
1999,Chevrolet,Blazer,LS,SUV,automatic,1gndt13w9x2207829,nc,2.0,183499.0,black,purple,crossroads ford of fuquay-varina,950.0,500.0,Mon Jan 12 2015 08:31:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb5dn714590,mn,31.0,50029.0,white,black,dtg operations inc,9775.0,9800.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2006,BMW,X3,3.0i,SUV,automatic,wbxpa93436wd26479,pa,36.0,124618.0,gray,black,credit acceptance corp/vrs/southfield,6875.0,5650.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2009,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56x89b408408,ca,3.0,78792.0,black,black,high bid trading co inc,14550.0,14400.0,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2013,Honda,Civic,LX PZEV,Sedan,automatic,19xfb2f57de014459,fl,45.0,28823.0,blue,gray,sullivan auto group llc,13300.0,14000.0,Thu Mar 05 2015 01:40:00 GMT-0800 (PST)
2010,Nissan,Cube,1.8 SL,Wagon,automatic,jn8az2kr8at169768,wa,42.0,60714.0,—,black,paramount motors northwest inc,7950.0,9600.0,Wed Jan 21 2015 05:30:00 GMT-0800 (PST)
2010,Jeep,Liberty,Sport,SUV,automatic,1j4pn2gk8aw139403,tx,25.0,67542.0,red,black,santander consumer,11300.0,10000.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8bm353373,oh,37.0,72349.0,silver,—,infiniti financial services,15600.0,15000.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2006,MINI,Cooper,Base,Convertible,automatic,wmwrf335x6tg15841,tx,32.0,105627.0,white,gray,bmw of arlington,3100.0,5100.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e35d1182786,in,46.0,67807.0,gray,tan,ge fleet services for itself/servicer,9075.0,9200.0,Wed Jan 14 2015 05:30:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar2ct212311,fl,41.0,22210.0,black,black,remarketing by ge/tmt auto wholesale inc,7800.0,7500.0,Fri Feb 20 2015 01:45:00 GMT-0800 (PST)
2011,Volvo,S60,T6,Sedan,automatic,yv1902fh5b2014056,tx,37.0,97936.0,—,brown,mike albert fleet solutions,10500.0,12200.0,Wed Feb 18 2015 02:05:00 GMT-0800 (PST)
2009,Ford,Edge,SEL,SUV,automatic,2fmdk38c19ba55639,tx,37.0,72191.0,—,black,ford motor credit company llc,11900.0,10400.0,Thu Jan 29 2015 02:30:00 GMT-0800 (PST)
2011,Buick,Lucerne,CXL,Sedan,automatic,1g4hc5em0bu136414,mo,44.0,38839.0,silver,gray,lou fusz buick gmc,14350.0,14700.0,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee1dc057098,wa,36.0,37959.0,red,black,dollar rac/seattle,13000.0,13500.0,Wed Feb 11 2015 05:15:00 GMT-0800 (PST)
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f27cl387597,mo,19.0,58765.0,black,black,sutton ford/ge,8625.0,7800.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2009,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa51e29c823362,va,37.0,169033.0,gray,black,navy fcu,7475.0,5000.0,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2014,Toyota,Corolla,LE,Sedan,automatic,2t1burhe7ec101308,ca,2.0,17615.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13700.0,8000.0,Thu Feb 05 2015 04:30:00 GMT-0800 (PST)
2003,Dodge,Durango,SLT Plus,suv,automatic,1d4hs58n73f602800,fl,25.0,149612.0,red,gray,brandon mitsubishi,2250.0,2600.0,Thu Jun 04 2015 09:00:00 GMT-0700 (PDT)
2012,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg3cr405485,fl,24.0,66154.0,black,beige,dtg operations inc,10200.0,9800.0,Wed Jun 17 2015 02:10:00 GMT-0700 (PDT)
2011,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ft7x2b69bec07077,mo,27.0,105416.0,white,gray,u-haul technical center,13500.0,16400.0,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4aexeh464659,wi,49.0,8150.0,gray,gray,capital one auto finance,13750.0,13600.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2004,Hyundai,Santa Fe,Base,SUV,automatic,km8sb12b54u611370,nj,34.0,123845.0,white,gray,mallen enterprises inc,2350.0,2700.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e40du123808,co,44.0,30844.0,gray,black,ge fleet services for itself/servicer,15300.0,16900.0,Wed Dec 31 2014 11:45:00 GMT-0800 (PST)
2002,Chevrolet,Tahoe,LS,SUV,automatic,1gnek13z82j296373,oh,19.0,117106.0,gray,gray,wright-patt credit union,5100.0,4700.0,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
2007,Infiniti,G35,Base,Sedan,automatic,jnkbv61e57m714702,tx,34.0,145110.0,gray,black,tdaf remarketing,6875.0,6800.0,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
2014,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhg5eh207129,fl,43.0,22299.0,black,burgundy,royal rent a car,18700.0,21400.0,Thu May 21 2015 02:00:00 GMT-0700 (PDT)
2014,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salwr2tf3ea363334,tx,5.0,15571.0,black,black,music city autoplex llc,75000.0,87000.0,Wed Jan 07 2015 10:20:00 GMT-0800 (PST)
1999,Pontiac,Firebird,Formula,Hatchback,automatic,2g2fv22g9x2223815,pa,31.0,126533.0,black,gray,bergeys buick gmc,3800.0,3100.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbekxc1323313,in,25.0,85977.0,gray,black,ge fleet services for itself/servicer,10900.0,9800.0,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2012,Ford,Edge,Limited,suv,automatic,2fmdk3k91cba11807,fl,46.0,43414.0,black,black,ford motor credit company llc pd,19950.0,19300.0,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2014,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhg5eh121433,fl,5.0,692.0,red,black,central florida chrysler jeep dodge,20100.0,23900.0,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2010,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap5al600470,md,34.0,75255.0,black,gray,capital one auto finance,6775.0,5300.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9dh285592,oh,27.0,26269.0,white,gold,hyundai motor finance,11800.0,11000.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,hatchback,automatic,1fadp3k23dl318606,mi,46.0,19261.0,red,black,ford motor credit company llc,11450.0,13200.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,Ford,Taurus,SE,Sedan,automatic,1fahp2dw3cg135919,fl,3.0,93583.0,burgundy,—,ricks auto marketing center south,10450.0,10800.0,Wed Feb 04 2015 01:10:00 GMT-0800 (PST)
2008,Jeep,Commander,Sport,suv,automatic,1j8hh48k08c155515,nv,47.0,101500.0,black,black,jpmorgan chase bank n.a.,8475.0,8500.0,Fri Jun 12 2015 05:00:00 GMT-0700 (PDT)
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1bm356700,il,33.0,68772.0,white,black,nissan infiniti lt,15700.0,15900.0,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl7d5017408,fl,38.0,25648.0,black,tan,lexus financial services,33600.0,33400.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0d7328648,wa,38.0,35133.0,silver,black,dollar rac/seattle,11800.0,13600.0,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
2013,Ford,Focus,SE,sedan,automatic,1fadp3f27dl152763,ca,35.0,53376.0,silver,black,the hertz corporation,9000.0,8700.0,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
2009,Honda,Fit,Sport,Hatchback,automatic,jhmge88669s008790,ca,24.0,131302.0,silver,black,aaero sweet company,5425.0,6400.0,Wed Jan 07 2015 11:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb1e7195738,ga,37.0,31363.0,black,black,avis corporation,13000.0,12500.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8dr247638,tx,22.0,32765.0,white,tan,mercedes-benz finc wholesale advantage,21700.0,20500.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2011,Toyota,Sequoia,SR5,SUV,automatic,5tdby5g16bs040516,wa,4.0,55020.0,white,gray,lexus of tacoma at fife,28300.0,29100.0,Wed Feb 18 2015 05:20:00 GMT-0800 (PST)
2014,Kia,Forte,LX,Sedan,automatic,knafx4a61e5211425,wa,48.0,5447.0,blue,gray,kia motors america  inc,13000.0,13000.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh271390,co,28.0,56418.0,blue,beige,avis corporation,10200.0,9700.0,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
2002,Toyota,Tacoma,Base,Xtracab,automatic,5tevl52n92z883134,ca,27.0,124945.0,black,beige,toyota scion of downtown la,4175.0,5700.0,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c59h416597,ca,35.0,76410.0,green,beige,autohaus,5975.0,7500.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8cu515410,fl,28.0,23433.0,red,beige,world omni financial corporation,13800.0,12800.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap9cm333705,ca,39.0,50444.0,gray,beige,nissan infiniti lt,22600.0,22250.0,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
2012,Nissan,Pathfinder,S,SUV,automatic,5n1ar1nb1cc619991,pa,44.0,57245.0,gray,black,jack pfister autos,18500.0,18600.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2009,Dodge,Journey,SXT,SUV,automatic,3d4gg57v59t239023,fl,19.0,69869.0,gray,gray,regional acceptance corporation / greenville,8125.0,7100.0,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap3em679232,tn,47.0,12223.0,gray,black,nissan infiniti lt,27700.0,28200.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sbxe7165174,mn,35.0,37946.0,silver,black,hertz car exchange inc/oklahoma city,11250.0,11100.0,Tue Jun 16 2015 17:00:00 GMT-0700 (PDT)
2010,Chevrolet,Malibu,LT1,sedan,automatic,1g1zc5eb0af202608,oh,29.0,66418.0,black,—,dt credit corporation,8400.0,9200.0,Thu Jun 18 2015 02:00:00 GMT-0700 (PDT)
2014,Ford,Focus,SE,hatchback,automatic,1fadp3k25el314204,ny,37.0,23559.0,white,black,ford motor credit company,11750.0,12200.0,Wed Jun 17 2015 02:20:00 GMT-0700 (PDT)
2011,Chevrolet,Traverse,LT1,suv,automatic,1gnkvged6bj272409,mi,38.0,45251.0,white,gray,larry hudson chevrolet buick gmc inc,18500.0,18600.0,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f2xel145615,tx,4.0,37691.0,black,black,ars/avis budget group,11600.0,12700.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du711223,pa,45.0,8782.0,blue,beige,hyundai motor finance,12150.0,12000.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2013,Toyota,Venza,LE,Wagon,automatic,4t3za3bb5du077923,fl,37.0,52480.0,blue,gray,avis corporation,16550.0,16100.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,Hyundai,Tucson,SE,SUV,automatic,km8jucag5eu893414,mn,41.0,30531.0,silver,gray,avis corporation,18750.0,18500.0,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2014,Kia,Soul,+,Wagon,automatic,kndjp3a55e7085685,wi,46.0,10493.0,yellow,black,kia motors america  inc,14250.0,13500.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2008,Dodge,Ram Pickup 1500,Laramie,quad cab,automatic,1d7hu18248s506777,co,29.0,169390.0,white,tan,jpmorgan chase bank n.a.,7450.0,6800.0,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
2013,Ford,Escape,Titanium,suv,automatic,1fmcu9j95dub06781,il,41.0,40622.0,black,black,ars/ford-lincoln dealer program,20300.0,21500.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2013,Volkswagen,Golf,2.5L PZEV,Hatchback,automatic,wvwdb7ajxdw117566,mo,42.0,54090.0,black,black,weber granite city chevrolet company,9875.0,9400.0,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
2007,BMW,X5,4.8i,SUV,automatic,5uxfe835x7lz46762,nc,32.0,70535.0,white,beige,hendrick lexus,16650.0,16800.0,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
2004,GMC,Yukon XL,1500 SLE,SUV,automatic,1gkec16t74j205873,nc,19.0,210231.0,black,gray,dt credit corporation,2050.0,2700.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2011,Ford,Escape,XLT,SUV,automatic,1fmcu9d75bka63028,wi,25.0,55093.0,beige,tan,wheels exchange llc,11400.0,11500.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2009,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk163x9r113403,ut,1.0,426418.0,white,black,united leasing inc,3325.0,5100.0,Wed Jan 21 2015 03:30:00 GMT-0800 (PST)
2012,Ford,E-Series Van,E-150,E-Series Van,automatic,1ftne1ew3cda18449,tx,43.0,81167.0,white,—,wheels exchange llc,13250.0,12800.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,SR,Sedan,automatic,3n1ab7ap9dl639184,nj,43.0,28919.0,black,black,nissan-infiniti lt,11650.0,13500.0,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2002,GMC,Sonoma,SLS,extended cab,automatic,1gtcs19wx28244831,nc,19.0,201802.0,white,gray,crown nissan,1500.0,700.0,Thu Jun 04 2015 07:00:00 GMT-0700 (PDT)
2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18983b146286,va,21.0,121281.0,white,gray,browns honda city,2525.0,2900.0,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
2013,Acura,MDX,Base,SUV,automatic,2hnyd2h24dh513059,il,35.0,18926.0,silver,black,ahfc/honda lease trust/hvt  inc acuras,30100.0,29800.0,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zh57bx8f174874,fl,23.0,65260.0,silver,gray,nicholas financial inc/clearwater,7775.0,7000.0,Thu Feb 12 2015 07:00:00 GMT-0800 (PST)
2010,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ev1afb50622,oh,42.0,73318.0,—,tan,stratton auto sales inc,18000.0,18500.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sl8ef286256,ca,49.0,13580.0,white,black,infiniti of montclair,15650.0,16000.0,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2010,Toyota,4Runner,SR5,SUV,automatic,jtebu5jr0a5016433,tx,35.0,92022.0,black,black,fiserv/security national automotive accept corp,22700.0,21900.0,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
2014,Kia,Optima,SXL,Sedan,automatic,5xxgr4a66eg284271,oh,42.0,5800.0,black,black,hyundai motor finance,24600.0,24900.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2003,Chrysler,PT Cruiser,Touring Edition,Wagon,automatic,3c4fy58b23t519516,nv,2.0,130278.0,gold,—,titlemax/las vegas nv21,1550.0,1700.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2000,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4g248s5yc254894,ca,2.0,119222.0,gray,gray,purple heart services inc,2275.0,1750.0,Wed Feb 25 2015 07:05:00 GMT-0800 (PST)
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d8xdga76262,fl,4.0,66787.0,gray,black,ricks auto marketing center south,21900.0,21200.0,Wed Feb 04 2015 01:10:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g50bnn30009,nj,19.0,20250.0,gray,black,financial services remarketing (lease),21600.0,15000.0,Wed Jan 14 2015 04:00:00 GMT-0800 (PST)
2011,Nissan,Titan,PRO-4X,Crew Cab,automatic,1n6aa0ec2bn304101,oh,47.0,104215.0,black,black,stratton auto sales inc,18050.0,17700.0,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2008,BMW,5 Series,535i,Sedan,automatic,wbanw13588cz82899,tx,36.0,105116.0,gray,black,remarketing by ge/afs acceptance llc,10200.0,6400.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2007,Chevrolet,Silverado 2500HD,Work Truck,Extended Cab,automatic,1gchk29k97e574722,tx,19.0,111990.0,white,gray,ge fleet services for itself/servicer,9625.0,8100.0,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2008,Ford,Econoline Cargo,E-350 Super Duty,Van,automatic,1ftse34p68da57133,il,35.0,111371.0,white,gray,gurley leep buick gmc cadillac gm giant,9325.0,9500.0,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2008,Chrysler,Sebring,LX,Sedan,automatic,1c3lc46rx8n279686,va,1.0,137008.0,gray,gray,dt credit corporation,2650.0,1000.0,Thu Feb 12 2015 03:50:00 GMT-0800 (PST)
2009,Mercedes-Benz,CLS-Class,CLS550,Sedan,automatic,wdddj72x59a141810,nj,27.0,121912.0,black,beige,wells fargo dealer services,16150.0,14700.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2010,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f89aa112391,nv,43.0,9632.0,black,black,honda r&d americas inc,13350.0,16400.0,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
1998,Toyota,Camry,LE,Sedan,automatic,4t1bg22k1wu854328,va,27.0,259094.0,burgundy,gray,toyota of glen burnie,875.0,800.0,Thu Jan 15 2015 01:05:00 GMT-0800 (PST)
2014,Infiniti,Q50,Sport,Sedan,automatic,jn1bv7ap5em671780,tn,47.0,1615.0,—,tan,nissan north america inc.,36100.0,35800.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2013,Nissan,Murano,SL,SUV,automatic,jn8az1mu1dw208084,tn,44.0,18753.0,gray,black,nissan north america inc.,23600.0,25200.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5apxcc823117,ca,34.0,75133.0,white,beige,nissan motor acceptance corporation,14100.0,15750.0,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
2012,Ram,1500,ST,Quad Cab,automatic,1c6rd6ft4cs322902,ga,43.0,12499.0,burgundy,gray,young motors llc,19950.0,19000.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2002,GMC,Yukon,Denali,SUV,automatic,1gkek63u12j224915,nc,35.0,197217.0,gray,gray,autopay,3325.0,2000.0,Mon Jan 19 2015 01:30:00 GMT-0800 (PST)
