year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2001,Acura,TL,3.2,sedan,automatic,19uua56651a027747,ga,29.0,142192.0,gray,gray,nalley nissan of atlanta,1525.0,1900.0,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
2012,Chevrolet,Colorado,1LT,Extended Cab,automatic,1gcescf90c8150333,ms,28.0,93464.0,gray,black,gm financial,14050.0,12100.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap9dc109219,nj,44.0,27199.0,gray,black,nissan-infiniti lt,12850.0,16000.0,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2015,Chrysler,200,C,Sedan,automatic,1c3ccceg6fn586392,il,3.0,11545.0,gray,black,chrysler group llc,21900.0,21500.0,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2009,Honda,Pilot,Touring,SUV,automatic,5fnyf48809b028995,pa,34.0,86271.0,gray,beige,r hollenshead auto sales inc,16550.0,16200.0,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb3dr272012,ca,41.0,27479.0,—,black,mercedes-benz financial services,22300.0,21750.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2004,Chrysler,PT Cruiser,Touring Edition,Wagon,automatic,3c4fy58b34t209487,tx,24.0,122402.0,white,gray,dt credit corporation,1825.0,2300.0,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2009,Ford,F-150,Lariat,supercrew,automatic,1ftpw14v79fa32897,mn,45.0,115338.0,—,black,coon rapids chrysler jeep dodge ram,17900.0,19800.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2012,Dodge,Grand Caravan,American Value Package,Minivan,automatic,2c4rdgbg7cr378003,fl,3.0,88087.0,white,black,ricks auto marketing center south,8775.0,8900.0,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
2011,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et7bfa58155,pa,38.0,106390.0,white,black,butler county motor company,22800.0,20500.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2011,Honda,Accord,SE,Sedan,automatic,1hgcp2f62ba125354,va,41.0,26481.0,white,beige,shirlie slack mitsubishi,12500.0,13900.0,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2012,Chevrolet,Avalanche,LTZ,crew cab,automatic,3gntkge71cg144878,mi,5.0,39231.0,white,black,automobiles paille inc,32700.0,32900.0,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
2009,Nissan,Versa,1.8 SL,Hatchback,automatic,3n1bc13e99l409629,wi,1.0,80205.0,black,black,gm financial,5350.0,3000.0,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
2010,Lexus,IS F,Base,Sedan,automatic,jthbp5c29a5007384,nv,42.0,50805.0,silver,black,financial services remarketing (repos),34700.0,35500.0,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2006,Ford,F-150,XLT,SuperCab,automatic,1ftpx14526na45183,fl,26.0,84616.0,silver,gray,santander consumer,9875.0,8400.0,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,LTZ,sedan,automatic,1g1pg5sb4d7185908,ca,28.0,28931.0,silver,black,avis corporation,12550.0,13100.0,Tue Jun 16 2015 05:45:00 GMT-0700 (PDT)
2008,Ford,Escape,Limited,SUV,automatic,1fmcu04178ke46422,ma,35.0,105816.0,silver,black,boch new to you superstore,7375.0,6500.0,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2011,Ford,F-150,SVT Raptor,SuperCab,automatic,1ftex1r62bfb82461,tn,5.0,33494.0,white,black,ford-lincoln dealer program,37300.0,39500.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2010,Chrysler,Town and Country,Touring,Minivan,automatic,2a4rr5d16ar132503,va,19.0,136775.0,black,gray,gm financial,6125.0,4500.0,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2011,Hyundai,Equus,Signature,Sedan,automatic,kmhgh4jf6bu041905,ca,48.0,50882.0,gray,black,high bid trading co inc,24000.0,23500.0,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2006,Hyundai,Tucson,GLS,suv,automatic,km8jn12d56u264887,mi,25.0,115554.0,red,gray,santander consumer,4350.0,3200.0,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2008,Dodge,Ram Pickup 1500,SLT,regular cab,automatic,1d7hu16n88j195910,tn,24.0,61697.0,black,gray,t & s motors,12600.0,13100.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j93eud26468,tn,44.0,33133.0,—,gray,avis budget group,21600.0,20400.0,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2002,Nissan,Altima,3.5 SE,Sedan,automatic,1n4bl11d12c243587,fl,19.0,164935.0,green,tan,consolidated asset recovery systems  inc.,2175.0,700.0,Wed Jan 14 2015 08:45:00 GMT-0800 (PST)
2007,Volvo,S40,2.4i,Sedan,automatic,yv1ms382372285563,md,21.0,120156.0,blue,black,santander consumer,4000.0,2500.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1uf3b1390089,pr,31.0,63574.0,black,black,reliable financial services inc,8150.0,9000.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2008,Toyota,Sienna,LE 7-Passenger,minivan,automatic,5tdzk23c28s170999,ny,35.0,133454.0,black,gray,credit acceptance corp/vrs/southfield,5800.0,5600.0,Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)
2009,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcek23319g149298,ny,29.0,68594.0,black,black,zappone chrysler jeep dodge ram,20100.0,19000.0,Thu Jan 22 2015 01:45:00 GMT-0800 (PST)
2011,Ford,Taurus,SEL,sedan,automatic,1fahp2ew4bg159997,ne,4.0,92472.0,gray,tan,dm northwest inc,10400.0,10900.0,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
2014,Nissan,Xterra,X,SUV,automatic,5n1an0nw0en811970,ca,49.0,8.0,white,black,nissan north america inc.,24700.0,10500.0,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h93dr212637,il,4.0,26878.0,black,black,ford motor credit company llc,15650.0,16000.0,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
2006,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4gs48k76c143065,ga,41.0,98995.0,brown,tan,holcomb used cars inc,5975.0,6800.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2002,Dodge,Grand Caravan,SE,Minivan,automatic,1b4gp24362b599890,pa,19.0,192494.0,silver,beige,enterprise car sales,725.0,800.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c53ce756229,ca,38.0,30738.0,white,black,mckenna audi/mckenna bmw,22200.0,23000.0,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.0L TDI,Hatchback,automatic,3vwjl7atxdm675464,tn,42.0,14033.0,yellow,black,san antonio credit union,16300.0,16200.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2012,Chrysler,200,Limited,sedan,automatic,1c3ccbcb0cn299613,fl,29.0,22939.0,white,tan,td auto finance,12150.0,9600.0,Tue Jun 16 2015 02:00:00 GMT-0700 (PDT)
2011,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbss3bl5bda94145,tx,32.0,119204.0,silver,gray,the hertz corporation,12500.0,12200.0,Wed May 20 2015 03:00:00 GMT-0700 (PDT)
2001,Honda,CR-V,LX,SUV,automatic,jhlrd28431s004275,ca,26.0,129568.0,green,gray,honda of el cerrito,2875.0,3000.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2013,Toyota,RAV4,LE,SUV,automatic,2t3bfrev0dw053895,oh,36.0,55058.0,white,gray,the hertz corporation,17150.0,16901.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2005,BMW,5 Series,530i,Sedan,automatic,wbana73575b818739,az,28.0,99890.0,gray,black,down the road motors,7000.0,7500.0,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb2d7327341,ca,26.0,54646.0,silver,black,fox rent a car,9850.0,10000.0,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc1c7282216,va,42.0,37710.0,red,gray,blue knob auto sales inc,10050.0,10400.0,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
2014,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap5ec436963,ca,41.0,29715.0,black,black,enterprise vehicle exchange/orange,17200.0,16700.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1efxekd16108,mo,47.0,41166.0,silver,gray,ars/avis budget group,26300.0,26200.0,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
2004,BMW,5 Series,525i,Sedan,automatic,wbana53574b173545,ca,37.0,93825.0,silver,black,mckenna audi/mckenna bmw,6225.0,7750.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1997,Ford,Thunderbird,LX,coupe,automatic,1falp6245vh136487,nc,19.0,83749.0,red,gray,crown chrysler dodge jeep,725.0,1350.0,Thu Jun 11 2015 07:00:00 GMT-0700 (PDT)
2013,MINI,Cooper,Base,hatchback,automatic,wmwsu3c51dt682376,md,34.0,30139.0,blue,black,all car leasing inc,13250.0,13700.0,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
2002,Dodge,Durango,SLT Plus,SUV,automatic,1b4hs58n82f102458,oh,28.0,176689.0,black,black,credit acceptance corp/vrs/southfield,1300.0,1700.0,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et9efd13683,mi,49.0,13019.0,black,gray,stratford hyundai,29200.0,30300.0,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2010,Chevrolet,Aveo,1LT,sedan,automatic,kl1td5de8ab089043,ma,25.0,75149.0,red,gray,first hyundai,4325.0,4700.0,Thu Jun 04 2015 11:30:00 GMT-0700 (PDT)
2005,Ford,Freestyle,Limited,wagon,automatic,1fmdk03125ga65104,fl,19.0,146666.0,blue,gray,mullinax ford lincoln,1800.0,1800.0,Tue Jun 16 2015 04:40:00 GMT-0700 (PDT)
